#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
103 (10.2797, 25.6014, 5.32032)  (-0.132393, -0.0718659, 0.988589) 0.330059 7.82585
104 (18.294, 30.9648, 4.93967)  (0.0789438, -0.0368799, 0.996197) 0.131559 5.43039
105 (22.0357, 29.9736, 4.25205)  (0.0969607, -0.0245134, 0.994986) 0.0651247 5.4335
106 (3.75724, 25.945, 5.51741)  (-0.0269904, -0.163992, 0.986092) 0.117933 7.70767
107 (5.17165, 30.8143, 6.30107)  (0.0302361, -0.0978349, 0.994743) 0.149625 9.41455
108 (2.42979, 29.2741, 6.68977)  (0.0863241, -0.0550032, 0.994748) 0.0919868 10.6166
109 (15.6259, 29.814, 4.18886)  (0.0897992, -0.0714168, 0.993396) 0.19947 5.12641
110 (0.750907, 30.0857, 6.09994)  (0.073792, -0.087987, 0.993385) 0.0905749 9.45025
111 (4.65759, 27.9592, 3.83484)  (0.0837054, -0.0652945, 0.994349) 0.0871369 4.48139
112 (-2.64948, 27.3179, 5.62278)  (0.0667998, -0.067402, 0.995487) 0.138325 8.61096
113 (0.386978, 28.18, 5.05917)  (0.00725955, -0.0749076, 0.997164) 0.274451 7.67366
114 (3.85802, 26.2595, 3.75763)  (-0.120752, -0.194603, 0.973421) 0.0902322 3.55575
115 (-4.85968, 29.9291, 6.18773)  (0.0150124, -0.0693863, 0.997477) 0.149779 9.38706
