#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
11 (0.309118, -3.05981, 2.07233)  (-0.148613, 0.0172387, 0.988745) 0.328407 4.68786
12 (-2.62586, 0.8404, 2.12499)  (-0.126087, -0.126719, 0.983892) 0.242019 4.66691
13 (7.1465, 0.602636, 3.47936)  (0.071101, -0.0679825, 0.99515) 0.0927757 7.83359
14 (-6.00167, 4.41779, 2.26702)  (0.0707304, -0.117492, 0.990552) 0.0788668 4.56643
15 (1.07474, 7.04386, 6.33045)  (0.0946443, -0.0730598, 0.992827) 0.119928 7.01503
16 (-6.60898, -3.01347, 4.66258)  (0.065379, -0.0351539, 0.997241) 0.131135 9.08513
17 (-0.71602, -5.41898, 4.63814)  (0.045434, -0.0533581, 0.997541) 0.0922702 10.1843
18 (-1.8657, 6.95752, 7.8762)  (0.0460243, -0.0660358, 0.996755) 0.107519 4.84227
19 (0.478175, -7.03938, 5.34696)  (0.0537708, -0.109487, 0.992533) 0.11408 10.062
20 (0.722439, 1.78502, 4.12168)  (0.0534496, -0.0622772, 0.996627) 0.0958999 7.5816
21 (-2.98104, 0.140003, 5.63141)  (-0.041687, -0.115703, 0.992409) 0.260425 5.60539
22 (-0.49752, -0.921294, 6.45627)  (0.0738297, -0.0926833, 0.992955) 0.246574 11.4084
23 (6.51943, -5.3952, 5.75618)  (0.0982409, -0.0712289, 0.99261) 0.131482 11.4816
24 (8.35175, -3.87581, 4.53589)  (0.0584647, -0.0194224, 0.998101) 0.0701767 8.60633
25 (11.1028, 4.55822, 5.6517)  (0.0752356, -0.0605224, 0.995327) 0.0789289 10.3953
26 (10.4726, 5.5574, 6.02857)  (0.0190388, -0.0884803, 0.995896) 0.107371 10.8184
27 (10.9778, -2.48588, 4.87238)  (0.0690629, -0.0472281, 0.996494) 0.105117 9.0767
28 (12.7402, 2.11705, 5.00737)  (0.0405711, -0.0639121, 0.997131) 0.0761148 9.30252
29 (11.8309, -5.90277, 5.1888)  (-0.0421945, 0.00887666, 0.99907) 0.382244 10.1103
